Ulasan;Sentimen
semoga bagus;netral
sesuai pesanan bagus kerja;positif
barang sudah sampai aman cuma belum di coba aja karena barang datang kebetulan lagi datang bulan;positif
respon penjualnya;positif
sesuai permintaan mantap kiriman cepat tapi belum di coba semoga manjur;positif
sesuai dan bagus sangat;positif
barang sesuai dengan deskripsi;positif
enak;positif
semoga berkhasiat;netral
tidak ada ulasan;netral
salah kirim jamu sehat jadinya;negatif
pesanan sudah sampai;positif
paketnya sudah diterima sesuai pesanan proses dan pengirimannya cepat penjual nya baik terima kasih gan;positif
tidak ada ulasan;netral
mantap;positif
cepat sesuai aman lengkap;positif
tidak ngaruh kak warna cairan agak muda beda dengan sebelumnya lebih pekat;negatif
parah banget jnt;negatif
kepuasan saya yang saya pesan sudah saya terima terima kasih;positif
tidak ada ulasan;netral
belum dicoba;netral
lumayan;netral
tidak ada efeknya;negatif
semoga cocok bisa order kembali sukses bos;netral
oke;positif
paket tiba cepat kualitas baik direkomendasikan makasih;positif
barang oke kemasan oke;positif
baru kali ini coba;netral
terima kasih penjual;positif
terima kasih;positif
bagus;positif
bagus banget;positif
ngga kecium bau jamu nya sih;negatif
insyaa allah bermanfaat;netral
saya sudah terima dalam kondisi baik dan dapat bonus terima kasih;positif
proses dan pengiriman cepat terima kasih;positif
barang cepat sampai;netral
sudah coba habis satu botol;positif
sampai dengan selamat joss gandos khasiatnya;positif
mantap;positif
respon cepat;positif
lemot respon sangat lambat barang tidak sesuai dengan fungsi kualitas nol;negatif
gambar asli;positif
paket sesuai pesanan;positif
barang sudah sampai dengan mulus;positif
kapan-kapan beli lagi karena cocok pakai ini;positif
berlangganan;positif
barang sesuai pesanan;positif
udah berlangganan biarkan bintang itu berbicara;positif
pesanan cepat nyampe sesuai permintaan respon cepat packing rapi penjual ramah rekomendasi penjual makasih;positif
bagus kasiatnya nyata respon dan pengiriman cepat sukses selalu ya;positif
selalu berlangganan;positif
barang sampai dengan aman dan lengkap;positif
bagus sih request jangan ditulis tapi masih terisi;netral
barang sesuai pesanan makasih;positif
barang cepat sampai gan makasih;positif
selalu berlangganan di toko ini barang asli dan mantap;positif
lumayan bikin padat beli banyak dapat bonus;positif
lumayan bikin padat dan isi;positif
proses agak lama tapi pengemasan rapih;netral
privasi aman;positif
terimakasih barang cepat dikirim;positif
ini datangnya sesuai gambar yaa cuman belum coba;netral
selalu berlangganan dan cepat pengirimannya;positif
respon cepat kualitas oke;positif
barang sudah sampai dengan aman;positif
mantab bos bener bener kuat;positif
terima kasih gan;positif
sudah berlangganan di sini;positif
semoga mantap betul;netral
barang sudah sampai semoga berkhasiat;netral
expedisi wahana tidak ada privasi sama sekali si kurir ngasih barang ke orang lain bukan sama si penerima asli;negatif
semoga cocok;netral
semoga bermanfaat;netral
barang cepat sampai;positif
barang cepat sekali sampai;positif
barang sesuai deskripsi;positif
responnya lama banget;negatif
pake gosend barang sesuai dan cepat sampai makasi ya;positif
barang sesuai pesanan;positif
nggak ada efeknya malah ngefek kebadan lelah semua badan terasa lelah semua;negatif
kami telah menerima barang bagus dan sesuai;positif
semoga hasilnya mantap;netral
barang oke punya mantap;positif
terima kasih;positif
sudah pesan yang ke dua cocok mantab admin;positif
barang sudah diterima dengan baik;positif
kurang privasi;negatif
baru mau coba belum tahu khasiatnya;netral
mantap banget;positif
barang sudah sampai pengiriman cepet banget;positif
respon super cepat sehingga barang cepat sampai barang sesuai diskripsi puas direkomendasikan sahabat;positif
barang palsu;negatif
produk sesuai keterangan;positif
barang datang kondisi rusak;negatif
alhamdulillah sampai barangnya dengan selamat semoga cocok amin;netral
barang sudah sampai pengiriman cepat dan kemasan aman tapi belum dicoba ya;positif
belinya yang seperti madura empot empotan tapi yang dikirim perawatan wanita empot empotan lain kali konfirmasi dulu gan sebelum kirim barang kalau yang perawatan;negatif
udah sampai tapi belum dicoba;positif
mantap;positif
sesuai deskripsi mantap;positif
barang sesuai keterangan;positif
barang sesuai gambar;positif
tunggu besok;netral
tunggu setelah seminggu;netral
mantap banget;positif
sama aja;netral
semoga bermanfaat;netral
terima kasih;positif
biasa saja ga ada perubahan terima kasih atas pelayanan yang teramat sangat lama merespon pesan;negatif
barang sudah sampai semoga saya bisa cepet langsing dan order lagi trimakasih sukses selalu;netral
barang sudah diterima dengan keadaan baik;positif
belum di coba wadah bagus sukses selalu;positif
pengiriman cepat;positif
mantap;positif
Bagus;positif
barang cepat dan rapi;positif
kalau pelanggan aku cocok nanti beli lagi;netral
makasih pesanannya sudah sampai aku coba rekomendasi nya ya semoga cocok;positif
agak basah ternyata ya semoga cocok obatnya terima kasih;negatif
lapak terbaik dan terpercaya makasih bonusnya ibu;positif
mantap;positif
barang sesuai pesanan;positif
pesanan udah nyampe dengan rapih dan bagus;positif
belum pernah mencoba semoga cocok;netral
biar bintang yang menilai;positif
jawab cepat;positif
barang sudah sampai;netral
kemasan barang cukup rapi dan tampak serius namun tidak bekerja maksimal;netral
mantap betul;positif
belum ada khasiat apapun yang saya rasakan;negatif
barang sudah sampai terima kasih;positif
terima kasih;positif
mantap teratas;positif
belom dicoba semoga bermanfaat respon cepat sukses selalu;netral
semoga cocok;netral
pengiriman cepat;positif
relatif tergantung respon tubuh dan kuasanya;netral
mantep jamunya sangat berkhasiat pembeli bilang hari pakai langsung kesat dan rapat dan keluar kotoran seperti ini dari miss v;positif
produk sesuai diskripsi harga ramah;positif
pembelian kesekian akhirnya selalu puas direkomendasikan penjual;positif
semoga cocok;netral
gak ada efek apa dan tidak ada reaksi;negatif
barang palsu gak sesuai;negatif
barang cepat sampai;positif
terima kasih banyak barang sudah sampai sesuai dengan pesanan terima kasih salam sukses;positif
puas dengan pelayanannya selalu pembelian kalau habis stok terima kasih bonusnya gan;positif
mantap pake banget makasih bonus jahe merah nya;positif
cepet banget datangnya gak sampai jam sudah sampai terima kasih;positif
barang sesuai pesanan dan responnya baik terima kasih;positif
terima kasih kak paketnya sudah sampai terima juga bonusnya;positif
saya sebagai penjual kecil banyak yang minta;positif
sip pengiriman cepat;positif
puas belanja disini direkomendasikan banget terima kasih ya kak bonusnya;positif
mantap ini mah ramuannya bakal ga mau pergi suami saya;positif
terima kasih paket sudah nyampe;positif
mantap jamunya dan dikasih bonus makasih ya;positif
pesan kesekian akhirnya selalu puas;positif
pengiriman cepat sekali nanti malam baru langsung di coba;positif
paket sudah saya terima;netral
terima kasih;positif
udah pake ini dua dan emang manjur pengirimannya cepet;positif
mantap;positif
produk sudah diterima dengan baik semoga bermanfaat nanti terima kasih;netral
produk sudah diterima semoga diterima nanti terima kasih;netral
seperti biasanya terima kasih;positif
terima kasih bonusnya;positif
paketan rapi;positif
barang sudah sampai trima kasih;positif
barang cepat sampai terima kasih;positif
selamat datang sudah berlangganan di toko ini terima kasih;positif
produk tidak sesuai kecewa;negatif
tempatnya rapi;positif
barang cepat sampai;positif
barang ok pengiriman lambat saran tambah kurir jangan jne aja;negatif
pengiriman cepat;positif
terima kasih barang sudah diterima dengan baik;positif
kualitas produk sangat baik;positif
diproses cepat;positif
belum dicoba semoga berkhasiat dapat bonus jahe merah makasih ya;netral
belum dicoba tapi packing oke semoga cocok dapet bonus jahe merah makasih;positif
kualitas produk sangat baik;positif
ada harga;netral
sanga puas sangat matap produknya mantap;positif
pengiriman cepat;positif
belum dicoba semoga cocok;netral
semoga cocok;netral
jamunnya sudah sampai;netral
cepat dan sesuai terima kasih gan;positif
terima kasih mas cepat dan cepat sampai nanti malam waktunya waktunya;positif
sampai dengan baik penjual bagus;positif
karena ini punya teman maka tidak saya buka setidaknya untuk kedepannya agar lebih baik lagi dalam berkomunikasi dengan pelanggan;negatif
produk sesuai rekomendasi penjual;positif
kata dia sih nggak ngefek;negatif
pembelian pertama hasilnya lebih baik daripada yang terbaru;positif
gak ada efek apa dan tidak ada reaksi;negatif
saya kasih bintang dulu ya soalnya belum ada hasil tapi nanti kalau ada hasilnya saya langsung ubah penilaian;negatif
saya kasih bintang dulu soalnya kurang manjur si disaya;negatif
terima kasih pak kurir;positif
manjur;positif
barang sampai dengan selamat pelayanan juga cepat respon;positif
produk ini sangat cocok untuk menjaga kesehatan anda terutama yang kolesterol tinggi;positif
oke seperti biasa;positif
terbukti;positif
barang sesuai pesanan kadaluwarsa untuk pemasok lebih privasi lagi;negatif
mantap;netral
pesanan diterima dengan baik dan sesuai pesanan;positif
penjual cepat respon barang sampai dengan selamat;positif
sangat cepat pengirimannya makasih nih langganan banget udah gak kehitung kesekian saat pesan disini mantap;positif
sesuai pesanan dan cepat datangnya kita lihat hasilnya nanti;positif
sesuai pesanan dan cepat datangnya semoga bener berkhasiat;positif
